,i_roc,p_roc
mvtec3d-bagel,79.03,0.00
mvtec3d-cable_gland,82.54,0.00
mvtec3d-carrot,80.05,0.00
mvtec3d-cookie,78.54,0.00
mvtec3d-dowel,85.54,0.00
mvtec3d-foam,74.25,0.00
mvtec3d-peach,67.71,0.00
mvtec3d-potato,60.52,0.00
mvtec3d-rope,94.75,0.00
mvtec3d-tire,69.38,0.00
