,i_roc,p_roc,pro_auc
mvtec3d-bagel,84.25,89.42,70.26
mvtec3d-cable_gland,82.48,73.02,56.65
mvtec3d-carrot,81.00,90.34,79.21
mvtec3d-cookie,80.76,83.83,61.77
mvtec3d-dowel,85.54,82.48,65.73
mvtec3d-foam,74.38,85.84,69.38
mvtec3d-peach,72.31,83.29,66.82
mvtec3d-potato,59.73,76.21,70.18
mvtec3d-rope,94.88,96.62,84.76
mvtec3d-tire,69.06,74.01,49.89
