,i_roc,p_roc
mvtec3d-bagel,84.09,0.00
mvtec3d-cable_gland,82.54,0.00
mvtec3d-carrot,80.13,0.00
mvtec3d-cookie,77.98,0.00
mvtec3d-dowel,85.54,0.00
mvtec3d-foam,74.25,0.00
mvtec3d-peach,70.97,0.00
mvtec3d-potato,59.68,0.00
mvtec3d-rope,94.93,0.00
mvtec3d-tire,69.56,0.00
