,i_roc,p_roc,pro_auc
mvtec3d-bagel,78.77,89.42,70.26
mvtec3d-cable_gland,82.54,73.02,56.65
mvtec3d-carrot,79.94,90.34,79.21
mvtec3d-cookie,79.16,83.83,61.77
mvtec3d-dowel,85.54,82.48,65.73
mvtec3d-foam,74.19,85.84,69.38
mvtec3d-peach,70.07,83.29,66.82
mvtec3d-potato,60.67,76.21,70.18
mvtec3d-rope,94.79,96.62,84.76
mvtec3d-tire,69.33,74.01,49.89
