,i_roc,p_roc,pro_auc
mvtec3d-bagel,75.00,93.39,77.52
mvtec3d-cable_gland,79.86,83.20,64.90
mvtec3d-carrot,77.64,92.07,73.42
mvtec3d-cookie,71.88,86.21,67.13
mvtec3d-dowel,81.80,89.69,74.90
mvtec3d-foam,81.38,84.42,68.64
mvtec3d-peach,65.02,84.91,64.68
mvtec3d-potato,61.76,87.50,70.62
mvtec3d-rope,94.57,98.35,90.06
mvtec3d-tire,69.20,72.53,45.99
