,i_roc,p_roc
mvtec3d-bagel,82.18,0.00
mvtec3d-cable_gland,72.58,0.00
mvtec3d-carrot,75.51,0.00
mvtec3d-cookie,75.10,0.00
mvtec3d-dowel,82.66,0.00
mvtec3d-foam,76.06,0.00
mvtec3d-peach,73.11,0.00
mvtec3d-potato,60.62,0.00
mvtec3d-rope,91.17,0.00
mvtec3d-tire,71.03,0.00
