,i_roc,p_roc
mvtec3d-bagel,86.78,0.00
mvtec3d-cable_gland,77.83,0.00
mvtec3d-carrot,77.97,0.00
mvtec3d-cookie,75.55,0.00
mvtec3d-dowel,76.96,0.00
mvtec3d-foam,67.19,0.00
mvtec3d-peach,73.08,0.00
mvtec3d-potato,54.50,0.00
mvtec3d-rope,96.15,0.00
mvtec3d-tire,72.87,0.00
