,i_roc,p_roc
mvtec3d-bagel,83.78,0.00
mvtec3d-cable_gland,81.01,0.00
mvtec3d-carrot,75.48,0.00
mvtec3d-cookie,72.43,0.00
mvtec3d-dowel,84.36,0.00
mvtec3d-foam,66.81,0.00
mvtec3d-peach,73.62,0.00
mvtec3d-potato,61.41,0.00
mvtec3d-rope,93.03,0.00
mvtec3d-tire,67.31,0.00
