,i_roc,p_roc
mvtec3d-bagel,85.33,0.00
mvtec3d-cable_gland,83.80,0.00
mvtec3d-carrot,83.92,0.00
mvtec3d-cookie,79.89,0.00
mvtec3d-dowel,76.07,0.00
mvtec3d-foam,62.62,0.00
mvtec3d-peach,75.47,0.00
mvtec3d-potato,60.82,0.00
mvtec3d-rope,92.35,0.00
mvtec3d-tire,71.36,0.00
